cs1110,Mark Sheriff,难度 1 热度5。教授是相当厉害的一个人，讲课深入浅出。TA质量参差不齐，要选粗的大腿抱哦,PLIR 3010 国际关系理论,Legro,difficulty 5 热度3。极其优秀的人才。然而认真读书会使你学到最多东西。talk to TA，他们比教授更了解学生的困惑,SPAN 2020,Esperanza,difficulty4 hotness3 西语中级，学完2020就可以满足language requirement 啦。推荐有基础的童鞋上。UVA的语言课是真的强,COMM 1800 intro to comm,kemp,kemp 难度1 热度5 中考政治历史的学习方法。需要大量记忆哦。,CS 2102 离散,david,难度 1 热度5 cs系大水课。,,,,,,,,,,,,,,,,,,,,,
CS1110,Mark Sheriff,非常有趣的一门课 能在学到东西的同时保证gpa difficulty 1-2 hotness 5,Music1310,Jeff Decker,"大家都会推荐的一门课 不多说Difficulty 1 Hotness 5",Span1010-1020,Kate Neff,很好的教授 workload偏大 a有一定难度 difficulty 3 hotness 3（取决于你对语音的兴趣）,Math 2310,Leonid Petrov,课程内容略难 考试比较简单 教授给分也比较松 difficulty 2 hotness 1-5,math 3351,Craog Huneke,强烈安利！如果你是math major的话强烈推荐！非常好的教授 课程会有些难但是教授讲得非常好！difficulty 3 hotness 5,,,,,,,,,,,,,,,,,,,,,
Econ 2010,Mr. Elzinga,"Difficult 5, hotness 5",CS 1110,Prof. Sherriff,Difficulty 2 hotness 5,Comm 1800,Prof. Kemp,Difficulty 2 hotness 4,Econ 2020,Mr. Coppock,Difficulty 3 hotness 5,Japn 1010/1020,Kawai Sensei,Difficulty 2 hotness 4,,,,,,,,,,,,,,,,,,,,,
econ 2010,Prof. Elzinga,哇塞Elzinga超帅很有魅力！con: 年纪大讲话声音有点飘忽，而且不用ppt基本全程单口相声，而且相对别的Econ2010拿A略难些。pro：我是ap拿了5但是没换学分选择再上了一遍，我觉得我学到了很多东西！有很多新的见解！,FREN 1010,Liz Groff,work load不是一般的大！上课进度很快，quiz之类的很多，但是可以学到非常多的东西！0基础学起来会有些辛苦，因为班上同学大都有些基础了（对你没看错就是1010）要上这门课的话，做好心理准备，合理分配workload，一学期基础法语不是梦。,COMM 1800,一时都想不起来那坑爹老师叫什么了好像是robert kemp ,呵呵这老师还挺有意思的（微笑脸） easy A-的课 ,PHIL 1740 Life and Death,Rebecca Stangl,可以满足requirement的课。老师很chill，不是上课迟到就是提早下课。ppt会事先放出来。这门课让我学到了很多，引导我思考一些之前没想过的东西！这节课也并不是单纯考虑生与死，大部分在说一些堕胎安乐死自杀等等非常有意思的东西。我觉得是一门很好的，很适合没有哲学基础的人的哲学入门课。,ENWR1510 Sherlock Holmes,Charles Sligh,老师文笔口才叹为观止！喜欢sherlock holmes的同学可以去上这个课顺便满足first year writing的要求。btw已经满足了first year writing requirement但是对自己的英文写作没有非常大的信心的话，还是可以再上上first year writing的，蛮有意思。,卧槽居然还有这我真的写不下去了,写不下去了我别的课没什么观点,天啊,哦原来不是必答的，那再见了朋友,,,,,,,,,,,,,,,,,
Arts 2610 Drawing I,Barbara Bernstein,"Difficulty 2, Hotness 4  这门课挺难抢的，但是老师人很好，课也不难，无画画基础也可以上。",Econ 2020 Intro to Macroeconomics,Lee Coppock,"Difficulty 3.5, Hotness 5  老师相当chill，经常课前放小视频，释放体内蹦迪之魂。讲课很有条理很清晰",Comm 2010 Financial Accounting,Ann Backof,"Difficulty 5, Hotness 5 老师讲的挺好的，就是节奏特别快，稍微一愣神就懵逼了。但是能学到很有用的accounting知识",Econ 2010 Intro to Microeconomics,Marc Santugini Repiquet,"Difficulty 3, Hotness 5 老师上课讲的非常有条理，很清晰 很容易follow。",Stat 2120,Jeffery Woo,"Difficulty 2.5, Hotness 5 这节课很好的一点就是，考试占比不大，成绩分散在各个不同的part，不用担心一次考试考砸了就没有回转的余地。",,,,,,,,,,,,,,,,,,,,,
CS 1110,Sheriff ,fun class ,Social psychology ,oihsi,Fun class ,Criminology ,Professor R,interesting class,Comm 1800,R,Amazing class,Comm law ,Professor m,Fun class,,,,,,,,,,,,,,,,,,,,,
ECON 2020,Lee Coppock,Difficulty 2，Hotness5，教授讲课很棒，不难，人贼多。考试和quiz偶尔出坑题,STAT 2120,Jeffery Woo,Difficulty 2，Hotness 5，商院必修，事特别多，比较麻烦，但不难。上课和自己看书没太大区别，lab看TA。,RELB 2054,James Gentry,Difficulty 3，Hotness 3，藏传佛教，教授知道的东西特别多，但讲的比较深奥。要读很多书，每周150+ page。改卷不是很严所以看书认真写成绩不会差。,COMM 1800,Robert Kemp,Difficulty 3，Hotness 5，商院必上。教授的口音很有魅力。虽然看书就能懂，但为了考试要考的takeaway不去上课又不行。事情很多，而且不curve。,ASTR 1220,William Saslaw,Difficulty 5，Hotness 1，教授上课比较催眠，不靠各种电子教学设备靠纯讲。看书自学不够因为考试只考课上讲的。没有作业，考试极难，出题很tricky但curve很好。,,,,,,,,,,,,,,,,,,,,,
French1010&1020,Lova Rajaonarisoa,Difficulty 适中 Hotness 适中 很喜欢这门课，会在学习语言的同时了解文化，但是事情比较多。,Econ 2010,Elzinga,"Difficulty 4, Hotness 5, Elzinga上课比较意识流，考试不简单，TA很好，给分严。",HIEA2031Modern China,Bradley Reed,"Difficulty 3 ,Hotness4 教授非常好，上课很有深度和条理，谨慎选TA，给分会比较有差别。",Econ2020,Lee Coppock ,"Difficulty 3, Hotness 5, Lee 上课特别有趣，而且内心住着一个蹦迪小王子。条理清晰，并且lecture的内容和textbook 比较match.",Math1310 Calculus 1,Peter Bonventre ,"Difficulty 3, Hotness 4, 内容比较琐碎，事情比较多。",Enwr 1510,Ann Mazur ,"Difficulty 3, Hotness 3, 这门Enwr教授特别好，讲的很细致。Topic 挺有趣，大部分关于Victorian 时期gothic 和gender short stories.",,,,,,,,,,,,,,,,,,
Math 2310 Calculus III (2016 spring),Xiang Wan,"Difficulty 2, hotness 4, Xiang Wan is a good instructor. He explains material well and the test is easy. Take it if you'd like do calculus III",Econ 303 Money and Banking (2016 spring),Zachary Bethune,"Difficulty 5, hotness 4. Interesting class, lots of knowledge about money and the banking system in the states. The material is hard and requires lots of reading.",Math 3351 Elementary linear algebra (2016 spring),Craig Huneke,"Difficulty 4, hotness 5. The material is quite confusing so you should read the book and review for the test really hard. But Professor Huneke is good.",Sociology 1010 Intro to Sociology,James Hunter,"Difficulty 4, hotness 3. Big class so plz sit in the front. Otherwise you will not get what Professor says in class. And take good notes and memorize all of them. The exams are about the class lectures. Heads up!",Econ 2010 Intro to microeconomics,Ken Elzinga,"Difficulty 5, hotness 5. Professor Elzinga is really great. He is known for his office hour. He introduces many things other than the microeconomics knowledge you may have learned in high school but they are all quite useful.",,,,,,,,,,,,,,,,,,,,,
Cs1110,忘了,Cs入门课，挺简单的,Ece2630,忘了,电路入门课，很实用，很多知识会用到毕业,Cs2110,忘了,同样简单实用,Cs2150,Arron Bloomfield',有一定难度但是对于cs专业十分重要,Cs4102,K C Wong,算法课，对于找工作很好用,,,,,,,,,,,,,,,,,,,,,
PLAD2222,Lynn Sanders,Difficulty: 4 Hotness：3 不是一节受亚洲人推崇的课，教的主要是polling elections等是怎么收集data和做analysis的 说白了是political statistics 教授教课比较散 但考试比较straightforward 是一门很好的课,ARTS2160,Elizabeth Schoyer,Difficulty: 2 Hotness：5 画画基础，主要pencil sketches 有一点绘画基础就没关系 很简单 但workload比较大 会在studio花比较长的时间 但professors普遍很nice 就是离新生的dorms很远 上课时间2个半小时 可能比较长,PPOL3290,Bala Mulloth,Difficulty 1 Hotness 4 想抱batten school的可以上一下，主要讲social innovation in east asia，考试就是四个case studies和两个presentation 非常容易拿a 老师也非常nice 班里面基本没有中国人 都是印度人和美国人 所以积极性很高 同学之间的interactions也很多,Comm1800,Robert Kemp,"Difficulty 2, Hotness 5 commschool的prerequisite，非常非常浪费时间的一门课，如果不是想上comm school非常不推荐。上课和考试考的毫无关系，上课基本就是瞎扯，考试考的全是portal上的练习题和extra reading。这一年上过最没用的课 不要抱太大的希望",WGS2110,Bonnie Hagermann,Difficulty 3 Hotness 3 Women gender sexualty的intro课，很有意思，如果对feminism有兴趣的同学一定要报。TA和professor给分都还不错，上课内容也没有很难，主要是基本美国人，所以讨论的时候可以听到很有意思的评论，自己也有足够的机会发表意见 很推荐,,,,,,,,,,,,,,,,,,,,,
