Math1320: 是Cal2课程，其实还挺难的，比Cal1难好多，听说比Cal3还难。上课老师也都是staff，建议如果能用ap换还是尽早还掉比较好。,DRAM1010: How Theatre Works，是一节非常有趣的课，只是上课地点离dorm挺远的。上课除了Lecture还会有Sectional Work，会分组演戏。教授Cady Garey人超好，她邀请的guest speaker也都很棒！安利这节课各位戏精！,FREN3032: 看这节课点评的孩子们应该不太多……这节课上的是法国文学，会要求读很多东西，有诗歌，小说，散文和剧本。我的教授是Jennifer Tsien，一个在美国出生法国生活过的ABC，非常喜欢中国文化，人也非常nice！,
"RUTR 3352 19th Century Russian Literature教授是Slavic Department大名鼎鼎的Julian Connolly，非常博学，对自己的研究领域有极大热情，上课的时候声音有点小像在喃喃自语，但是每每非常带入情境",GERM 1010 德语入门，教授是一个年轻貌美有点mean的德国姑娘，Christina Neuhaus，讲课不是很有逻辑性，但一路讲下来该讲的也都cover到了，整体比较轻松,GETR 3372 German Jewish History and Culture 独特的双教授授课，强烈推荐人超好的Gabriel Finder教授，精通多门语言，对专业领域内的事情几乎无所不知，非常亲切幽默，对中国有强烈兴趣，非常喜欢和每个学生单独喝咖啡聊学术,BIOL 3240 Immunology 教授Kittlesen也是bio intro的教授，讲课风格独特，拥有一群迷妹，个人非常喜欢他，课堂拓展内容比较大，注重实验设计,
Comm2010，是网课，我觉得有些难的点光靠自己看书等理解有些challenging。但overall我觉得作业量很适中,PLAN3860，城市规划。课程难度偏简单，学的东西很基础也很实际。上课会提到大量的case，了解各个城市是如何实际运用城市规划方面的技术知识来打造生态城市等等。教授很passionate,Math3351。我觉得这节课非常不好，老师说的英语口音不是很能听懂，老师的黑板字真的非常难以看懂，真的靠自己,Psyc2600，挺基础的一节课，每月一次考试。老师挺幽默的，作业量等适中,Enwr1800，学Cinderella和Hidden Figures。教授Danniel人很nice，对待学术很有见解，赞！
stat 4260 database；刚开始很水 根本不用上课了后来就变难了；没有考试 只有12个作业，可以讨论的那种,stat 3080 学r编程的 老师是个大美女 可是结婚了 课设计的很好 但每周五有inclass assignment不能翘,phys 1060 物理入门课 还真不简单 考试和作业问题很tricky。lecture都会po在youtube上的所以可以不去上课,,
"Phil 2660: Philosophy in Religion难以概括对这节课有多热爱，Prof Merricks简直是男神，是完美的。讲课超级engaging 和inspiring，充满智慧的光芒吗，而且人非常nice。内容不简单，但是付出时间理解透，考试就还好。平时没什么作业，reading也不多，主要是上课的内容，能学到很多，强烈安利！！！！","Psychology 3410：abnormal psychology教授有点碎碎念，上课有趣程度一般，内容很多，reading workload比较大，但有extra credit( 5 short paper) 拿分相对比较容易。能学到东西。","Econ 3010Marc Santuigini 超级负责又可爱的教授，内容有难度，算是econ里比较难的课，但能学到不少东西，推荐。","Psyc 3559: Science of Well Being只有一句话： 如果是Psyc major不要上，太无聊了 ，我不知道在学什么一节鸡汤课，别上真的。","Psyc 3005明年改成2005了好像。更喜欢Stat 2120，2120比较structured 但是3005是Psyc major 必修课，上课比较无聊，有iclicker，但是Smyth人很nice。 "
MATH 2310 with Prasit; 教授很幽默，平均分比A低一点点，会跳过很多数学在别的领域里的应用，降低了课程难度,COMM 2010 网课；注重细节的一门课，每周五小时左右就足够了,KINE 1400 瑜伽；老师不会逐个纠正动作，容易练伤，没有基础的同学慎入,EGMT 1520 Thinking like a Scientist；老师提早下课，半节课看视频，很chill,EGMT 1510 Art:Inside/Out; 两个老师一起上，覆盖了很多内容，但是都蜻蜓点水，给分较严格,
PHIL 2340 The Computational Age这门课不是一门入门课，大一慎选。哲学专业可以尝试一下，内容很有意思，讨论人工智能、Information Privacy等等。教授人很友好。reading在哲学课里算是一般偏多一点点。,ECON 4610 Development Economics 这门课数学不多，老师讲课分析得很清楚，作业不多。,"ECON 4210 InternationalTrade Prof. Kosar 老师讲得一般，听说这门课的另一个教授更好。作业有时有点难。",STAT 4630 Statistical Machine Learning  老师从来不讲例题，lecture不是很有用,STAT 3210 这门课的instructor历史以来就不太好  很多数学
MUSI 3020，我非常喜欢Richard Will，以至于我让他当了我的DMP Advisor。如果对18世纪音乐感兴趣的话可以上。second writing req。作业量中等，难度中等，考试还好挺人性化的。,MUEN 3651，这学期Usinger我有time conflict所以没去然后去了Chamber，Usinger的课号是3650。UVA最大的合唱团，冬天貌似要有tour!! 水A课因为是合唱。。,STAT 4260，这是第一次offer这门课，所以还不是很系统，估计明年春天会改，所以其实参考性并不大。作业量中等偏高但是没考试，教得还好。,,
stat 6130 研究生课程，老师特别好，做题背后的logic讲的特别清晰，然后作业不是很多，但是这门课还是难得，需要好好学,stat 4260 database，没考试 只有作业 stat专业一定要上 gpa 保障 其他课没什么感觉,,
PHYS 3420，很难，教授教得很快，作业不算很多但很有难度,PHYS 3210，难，教授水平一般，grade给得很坑，总的来说如果不是必须上的话不建议选,AMPMA 3100，中等难度，Li Meiqin教得很一般，前5个chapter非常简单，后5个chapter非常难,CS 2102，难度中，作业很简单，考试很难，但不需要特别花精力，grade给的很容易,STS 2500，没有难度，没有考试，只要看reading和写作业而且不缺课的话肯定是easy A。Jason Jones的课非常好，上课附带冥想练习，压力很小很放松，强烈推荐
ARCH 3020 with Michael Beaman: 建院的设计课，每年都不一样，没什么参考性，好玩但很有挑战性,ARCH 3260 with Seth McDowell: 细节结构课，教授讲课有点枯燥，但project挺有意思，学到很多职业性很强的以后很实用的知识,ARCH 3403 with Shiqiao Li: 名字叫现代建筑史，但很多讲的是经济方面的，我不是特别感兴趣，但只有每周的discussion和两个paper，所以工作量不是特别大,ARCH 4830 Teaching Experience：当了大二结构课的TA，组织discussion和office hour回答问题，能够帮到喜欢的教授很不错。,
BIOL2200，教授讲的不错，作业不多，但是考试内容广泛，复习上来说有点吃力,BIOL3010，教授讲的很杂，而且没有什么章法，Jay Hirsh and P.Adler，作业很少，考题出的很没有规律,JAPN1020，日语老师人很好，Marshall先生很严但是非常负责任，课程紧凑，作业量大，日常表现非常重要,,
"ENGR 1620 千万别选Reed Beiley（忘了叫啥了好像是这个）本来应该是个人人A*的水课，被他设计的特别复杂特别耗时间。其他教授平均GPA接近4.0，他3.7多一点。","CS 1113 不major不minor CS的工院学生首选",CHEM 1610/1410 一定要选Welch，一生挚爱,,
"plir 3310 教授很厉害 多去听lecture能刷新你的世界观","plpt 3020 不错",ppol 3559，不推荐"arts 2610 还不错 比较chill","chtr 3010 比较水 但是professor非常好，可爱的老头"
enwr 1510 Sarah Moseley. 课程不难内容无趣，但只要能够投入时间，拿a是完全可以的。,math 3350 Jeffrey Holt. 只要是holt的课选了保证没问题！,CS 1111. Upsorn. 作业比考试难很多，平时要投入一些时间在作业上，但考试真的不难啦,,
CS4501-003 with Yanjun Qi：清华出来的毕竟是清华出来的，水平很高。学machine learning不学这节课感觉有点遗憾,STAT4630 with Joseph Rodu：CMU出来的毕竟是CMU出来的，这个胖子有点东西的。statistical machine learning更偏理论了，但是上的很舒服。什么都take home爽的一匹,CS 4630 with Tian Yuan: 别上,CS4102 with Nathan: 好老师，好课。反正学CS的都得上。,CS4710 with Michael: 好老师，好课，推荐上
math3351 with Sara Maloni: 教授很负责很可爱。但是口音比较重，板书比较难认,math2310 with Prasit: 是我见过的最没有口音的印度教授，要求严格，但上课会讲笑话活跃气氛,"enwr1510 with Charity Fowler:特别棒的老师，reading不多，任务都是看各种sci-fi和fantasy，比如The Magicians Star Trek Revolution Black Mirror Doctor Who之类的，喜欢科幻电影的千万不要错过。课上还会讨论这些show里出现的LGBT gender studies AI等问题，读一些与show相关的同人小说，不知道grade怎么样，但完全推荐！！！",stat2120 with Jeffery Woo:很负责的老师，小作业很多，但不难，认真学应该能拿A,comm2010 with my computer: 网课令我窒息，scedule考试特别烦，还要自己预约考试预定教室，无奈是商院必修课，卒
"SOC-3440，Chinese Society 一些基本的中国文化和现象，workload比较轻松","PLPT-3020 Modern Political Thought 作业就是response questions，一学期有33个，但是教授只会随机收10个，所以按道理讲每节课都有作业due。","PPOL-3559 Cybersecurity Policy 想考batten的可以考虑上一下，教授是law school的。workload不大，但是对于语言的功底要求高。",,
Germ 3000 很简单 easy A,Math 3354 数学专业课 相对难 但是教授是zezhou zhang，教的非常好,Phys 2419 工院必修课 非常无聊,,
MATH1320 课程不难 calculus2 认真学刷题分还算好拿。老师是James上课很负责很认真也懂很多，ta就emmmm了不过discussion也就去考个quiz，不指望ta教啥。每周固定的十几二十道网上的题目，不多。,ECON2020，我的爱！很喜欢coppock的上课方式，考试的时候辛苦点，平时没作业。,CS1110 泰康的，能不去上课就不去上课的我，每次都在被窝里看视频，挺良心的，好拿分。,STAT3220 课程内容是2120的延伸，很实用，老师新毕业经验不足上课一般般，不过extracredit啥的很多，老师对大家的分都很松，努力努力不难。不过A是95……,ENWR 1510 Charity Fowler的看电视剧的，对于不想看书的我来说是救星，几乎没reading，作业就是看电视剧看同人视频AO3啥的hhhh成绩没出来也不知道分好不好拿
