ANTH 1010,"This is a broad introductory course covering race, language, and culture, both as intellectual concepts and as political realities. Topics include race and culture as explanations of human affairs, the relationship of language to thought, cultural diversity and cultural relativity, and cultural approaches to current crises."
ANTH 2230,"Examines imaginary societies, in particular those in science fiction novels, to see how they reflect the problems and tensions of real social life. Focuses on 'alternate cultures' and fictional societal models."
ANTH 2250,""
ANTH 2280,"The course introduces medical anthropology, and contextualizes bodies, suffering, healing and health. It is organized thematically around a critical humanist approach, along with perspectives from political economy and social constructionism. The aim of the course is to provide a broad understanding of the relationship between culture, healing (including and especially the Western form of healing known as biomedicine), health and political power."
ANTH 2285,""
ANTH 2400,"Introduces the interrelationships of linguistic, cultural, and social phenomena with emphasis on the importance of these interrelationships in interpreting human behavior. No prior knowledge of linguistics is required."
ANTH 2430,""
ANTH 2589,""
ANTH 2590,"Topics to be announced prior to each semester, dealing with social and cultural anthropology."
ANTH 2620,""
ANTH 3010,Overview of the major theoretical positions which have structured anthropological thought over the past century.
ANTH 3152,"Analyzes ethnographies on the cultures and the societies of the South American rain forest peoples, and evaluates the scholarly ways in which anthropology has produced, engaged, interpreted, and presented its knowledge of the 'Amerindian.'"
ANTH 3240,"By exploring food and eating in relationship to such topics as taboo, sexuality, bodies, ritual, kinship, beauty, and temperance and excess, this course will help students to investigate the way the foods people eat--or don't eat--hold meaning for people within multiple cultural contexts."
ANTH 3290,""
ANTH 3310,""
ANTH 3360,""
ANTH 3395,A hands-on seminar in myth interpretation designed to acquaint the student with the concept and techniques of obviation.
ANTH 3470,"Introduction to peoples, languages, cultures and histories of the Middle East. Focuses on Israel/Palestine as a microcosm of important social processes-such as colonialism, nationalism, religious fundamentalism, and modernization-that affect the region as a whole. This course is cross-listed with MEST 3470.  Prerequisite: Previous course in anthropology, linguistics, Middle East Studies or permission of instructor."
ANTH 3559,New course in the subject of Anthropology.
ANTH 4591,"Integrates the major subdivisions of anthropology, emphasizing selected theoretical topics and primary sources. Primarily for majors in their final year."
ANTH 4993,Independent study conducted by the student under the supervision of an instructor of his or her choice.
ANTH 4998,"Independent research, under the supervision of the faculty DMP thesis readers, toward the DMP thesis. Prerequisite: Admission to the Distinguished Majors Program in Anthropology."
ANTH 5220,"Considers Western economic theories and their relevance to non-Western societies. Includes a comparative analysis of different forms of production, consumption, and circulation."
ANTH 5240,""
ANTH 5425,""
ANTH 5485,""
ANTH 5541,"Topics to be announced prior to each semester, dealing with linguistics."
ANTH 5549,""
ANTH 5590,"Topics to be announced prior to each semester, dealing with social and cultural anthropology."
ANTH 5808,""
ANTH 5870,"Laboratory training in techniques and methods used in analyzing animal bones recovered from archaeological sites. Include field collection, data analysis, and the use of zooarchaeological materials in reconstructing economic and social systems."
ANTH 7010,"Explores the diverse intellectual roots of the discipline, showing how they converged into a unitary program in the late nineteenth century, and how this program was criticized and revised in the first half of the 20th century."
ANTH 7060,"A workshop for graduates preparing dissertation proposals and writing grant applications. Each student prepares several drafts of a proposal, revising it at each stage in response to the criticisms of classmates and the instructor."
ANTH 7400,"An advanced introduction to the study of language from an anthropological point of view. No prior coursework in linguistics is expected, but the course is aimed at graduate students who will use what they learn in their own anthropologically-oriented research. Topics include an introduction to such basic concepts in linguistic anthropology as language in world-view, the nature of symbolic meaning, language and nationalism, universals and particulars in language, language in history and prehistory, the ethnography of speaking, the nature of everyday conversation, and the study of poetic language. The course is required for all Anthropology graduate students. It also counts toward the Theory requirement for the M.A. in Linguistics."
ANTH 7470,Language and Culture in the Middle East
ANTH 8998,"For master's research, taken before a thesis director has been selected."
ANTH 8999,"For master's thesis, taken under the supervision of a thesis director."
ANTH 9010,Directed Readings
ANTH 9020,Directed Readings
ANTH 9050,Research Practicum
ANTH 9998,"For doctoral research, taken before a dissertation director has been selected."
ANTH 9999,"For doctoral dissertation, taken under the supervision of a dissertation director."
ARAD 3100,"Introductory survey of principles and practices of arts administration, as the crossroads of art and audience."
ARAD 4500,""
ARAH 8051,Investigates problems in the theory and interpretation of the visual arts
ARAH 8095,Preparation of a 15-20 page dissertation proposal under the supervision of a dissertation advisor.
ARAH 8695,Special Reading Problems
ARAH 8998,"For master's research, taken before a thesis director has been selected."
ARAH 8999,"For master's research, taken under the supervision of a thesis director."
ARAH 9515,""
ARAH 9545,""
ARAH 9585,"Investigates problems in art of East, South, and Southeast Asia"
ARAH 9995,Supervised Research
ARAH 9998,"For doctoral research, taken before a dissertation director has been selected."
ARAH 9999,For doctoral research taken under the supervision of a dissertation director.
ARTH 1051,"A survey of the great monuments of art and architecture from their beginnings in caves through the arts of Egypt, Mesopotamia, Greece and Rome, Byzantium, the Islamic world, and medieval western Europe. The course attempts to make art accessible to students with no background in the subject, and it explains the ways in which painting, sculpture, and architecture are related to mythology, religion, politics, literature, and daily life. The course serves as a visual introduction to the history of the West."
ARTH 1505,Examines focused topics in Art History.
ARTH 2053,"The painting, sculpture, and architecture of the Greeks, from the Dark Ages through the Hellenistic period. Works are studied in their social, political, and religious contexts."
